hour,avg_profit,total_profit,num_trades,win_rate
9,2498.576828559339,9064836.734013282,3628,89.99448732083792
10,1366.468601695466,2884615.218179129,2111,87.16248223590716
11,1492.4790626044992,1517851.2066687758,1017,94.29695181907572
12,1372.9365973329589,556039.3219198483,405,96.04938271604938
13,2293.1331571525775,353142.50620149693,154,99.35064935064936
14,3978.446416158322,330211.0525411407,83,100.0
15,2178.3040320437945,32674.560480656914,15,100.0
18,-8436.911640917364,-101242.93969100836,12,75.0
19,-2801.821445976769,-14009.107229883846,5,80.0
