day_of_week,avg_profit,total_profit,num_trades,win_rate
Friday,2409.6534654656775,3522913.3665108206,1462,91.72366621067032
Monday,2199.0178846495864,3252347.451396738,1479,91.48073022312373
Saturday,2774.1227281093065,58256.577290295434,21,71.42857142857143
Sunday,-1476.539838187358,-8859.239029124148,6,83.33333333333334
Thursday,1650.6952667049004,2454583.861590187,1487,89.17283120376597
Tuesday,1713.6195201509142,2544724.9874241077,1485,90.37037037037037
Wednesday,1879.2963408727603,2800151.5479004127,1490,89.59731543624162
