Strategy,CAGR,Sharpe,Max DD,Win Rate,Trades,Weight
NIFTY Bank Strategy,3.44%,-0.16598434315289773,-1.82%,N/A,N/A,100.00%
Combined Portfolio,3.44%,-0.16598434315289773,-1.82%,N/A,N/A,100.00%
